Graph,K,Seed,Cut,Epsilon,Imbalance,Time,MaxRSS,Threads,Failed
"Bump_2911",1000,3,8967243,0.03,0.029876,18.758,3744436,96,0
"Bump_2911",128,3,4331293,0.03,0.029983,3.414,2990188,96,0
"Bump_2911",37,3,2724142,0.03,0.029992,2.031,1742332,96,0
"Bump_2911",64,3,3325740,0.03,0.029984,2.244,2323916,96,0
"Bump_2911",8,3,1220883,0.03,0.029998,0.525,554372,96,0
"Bump_2911",91,3,3818563,0.03,0.029974,2.929,2821392,96,0
"Bump_2911",1000,4,8911873,0.03,0.029876,18.911,3727700,96,0
"Bump_2911",128,4,4275548,0.03,0.029983,3.462,2961884,96,0
"Bump_2911",37,4,2646412,0.03,0.029992,2.031,1716792,96,0
"Bump_2911",64,4,3318249,0.03,0.029984,2.358,2360308,96,0
"Bump_2911",8,4,1268332,0.03,0.029998,0.591,582624,96,0
"Bump_2911",91,4,3784369,0.03,0.029974,2.771,2836612,96,0
"Bump_2911",1000,5,8935765,0.03,0.029876,18.696,3755508,96,0
"Bump_2911",128,5,4332920,0.03,0.029983,3.115,2999960,96,0
"Bump_2911",37,5,2607153,0.03,0.029992,1.96,1761200,96,0
"Bump_2911",64,5,3290409,0.03,0.029984,2.452,2333780,96,0
"Bump_2911",8,5,1255530,0.03,0.029998,0.524,548048,96,0
"Bump_2911",91,5,3806884,0.03,0.029974,2.781,2675796,96,0
"cage15",1000,1,8797759,0.03,0.029874,16.997,3165788,96,0
"cage15",128,1,5450146,0.03,0.029995,5.68,1478448,96,0
"cage15",37,1,3769572,0.03,0.029996,2.856,1372536,96,0
"cage15",64,1,4384278,0.03,0.029996,4.064,1389612,96,0
"cage15",8,1,1951224,0.03,0.029999,1.469,1003860,96,0
"cage15",91,1,4942359,0.03,0.029993,4.841,1427144,96,0
"cage15",1000,2,8812874,0.03,0.029874,16.971,3143652,96,0
"cage15",128,2,5286129,0.03,0.029995,5.555,1475248,96,0
"cage15",37,2,3754587,0.03,0.029996,3.331,1388452,96,0
"cage15",64,2,4372180,0.03,0.029996,3.354,1385472,96,0
